Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
,,,,,,,,,,,,,,,,,,SC-06
,,,,,,,,,,,,,,,,,,NY-15
,,,,,,,,,,,,,,,,,,FL-03
,,,,,,,,,,,,,,,,,,CO-01
,,,,,,,,,,,,,,,,,,MN-02
,,,,,,,,,,,,,,,,,,GA-11
,,,,,,,,,,,,,,,,,,WI-05
,,,,,,,,,,,,,,,,,,NY-21
,,,,,,,,,,,,,,,,,,IL-09
,,,,,,,,,,,,,,,,,,NH-01
,,,,,,,,,,,,,,,,,,WI-03
,,,,,,,,,,,,,,,,,,WI-08
,,,,,,,,,,,,,,,,,,NC-01
,,,,,,,,,,,,,,,,,,NY-03
,,,,,,,,,,,,,,,,,,WA-08
,,,,,,,,,,,,,,,,,,KY-06
,,,,,,,,,,,,,,,,,,NM-01
,,,,,,,,,,,,,,,,,,AZ-06
,,,,,,,,,,,,,,,,,,CA-34
,,,,,,,,,,,,,,,,,,CA-18
,,,,,,,,,,,,,,,,,,GA-09
,,,,,,,,,,,,,,,,,,SC-01
,,,,,,,,,,,,,,,,,,CO-07
,,,,,,,,,,,,,,,,,,NY-18
,,,,,,,,,,,,,,,,,,OH-14
,,,,,,,,,,,,,,,,,,IL-07
,,,,,,,,,,,,,,,,,,OK-01
,,,,,,,,,,,,,,,,,,PA-10
,,,,,,,,,,,,,,,,,,CA-26
,,,,,,,,,,,,,,,,,,CO-05
,,,,,,,,,,,,,,,,,,GA-12
,,,,,,,,,,,,,,,,,,CA-33
,,,,,,,,,,,,,,,,,,IL-01
,,,,,,,,,,,,,,,,,,AZ-05
,,,,,,,,,,,,,,,,,,TX-08
,,,,,,,,,,,,,,,,,,TX-02
,,,,,,,,,,,,,,,,,,TN-04
,,,,,,,,,,,,,,,,,,MN-07
,,,,,,,,,,,,,,,,,,NV-04
,,,,,,,,,,,,,,,,,,CA-38
,,,,,,,,,,,,,,,,,,VA-09
,,,,,,,,,,,,,,,,,,MD-04
,,,,,,,,,,,,,,,,,,PA-13
,,,,,,,,,,,,,,,,,,PA-06
,,,,,,,,,,,,,,,,,,PA-12
,,,,,,,,,,,,,,,,,,NY-08
,,,,,,,,,,,,,,,,,,WV-01
,,,,,,,,,,,,,,,,,,KY-02
,,,,,,,,,,,,,,,,,,NM-03
,,,,,,,,,,,,,,,,,,NY-26
,,,,,,,,,,,,,,,,,,MI-13
,,,,,,,,,,,,,,,,,,TX-25
,,,,,,,,,,,,,,,,,,MA-04
,,,,,,,,,,,,,,,,,,MI-12
,,,,,,,,,,,,,,,,,,VA-10
,,,,,,,,,,,,,,,,,,FL-22
,,,,,,,,,,,,,,,,,,MA-01
,,,,,,,,,,,,,,,,,,TN-05
,,,,,,,,,,,,,,,,,,TX-31
,,,,,,,,,,,,,,,,,,UT-01
,,,,,,,,,,,,,,,,,,WV-03
,,,,,,,,,,,,,,,,,,NJ-12
,,,,,,,,,,,,,,,,,,NJ-03
,,,,,,,,,,,,,,,,,,TX-04
,,,,,,,,,,,,,,,,,,FL-07
,,,,,,,,,,,,,,,,,,GA-03
,,,,,,,,,,,,,,,,,,FL-21
,,,,,,,,,,,,,,,,,,SC-02
,,,,,,,,,,,,,,,,,,TX-03
,,,,,,,,,,,,,,,,,,ME-01
,,,,,,,,,,,,,,,,,,AZ-04
,,,,,,,,,,,,,,,,,,IL-15
,,,,,,,,,,,,,,,,,,AR-01
,,,,,,,,,,,,,,,,,,CA-42
,,,,,,,,,,,,,,,,,,IL-18
,,,,,,,,,,,,,,,,,,IL-14
,,,,,,,,,,,,,,,,,,MO-06
,,,,,,,,,,,,,,,,,,MD-03
,,,,,,,,,,,,,,,,,,NC-05
,,,,,,,,,,,,,,,,,,NH-02
,,,,,,,,,,,,,,,,,,CA-19
,,,,,,,,,,,,,,,,,,LA-06
,,,,,,,,,,,,,,,,,,MI-08
,,,,,,,,,,,,,,,,,,MD-07
,,,,,,,,,,,,,,,,,,VA-03
,,,,,,,,,,,,,,,,,,AZ-09
,,,,,,,,,,,,,,,,,,NY-25
,,,,,,,,,,,,,,,,,,NE-01
,,,,,,,,,,,,,,,,,,TN-01
,,,,,,,,,,,,,,,,,,IL-08
,,,,,,,,,,,,,,,,,,IN-09
,,,,,,,,,,,,,,,,,,NC-02
,,,,,,,,,,,,,,,,,,IN-08
,,,,,,,,,,,,,,,,,,AL-02
,,,,,,,,,,,,,,,,,,AZ-07
,,,,,,,,,,,,,,,,,,MI-10
,,,,,,,,,,,,,,,,,,TN-09
,,,,,,,,,,,,,,,,,,TX-28
,,,,,,,,,,,,,,,,,,CA-48
,,,,,,,,,,,,,,,,,,OH-02
,,,,,,,,,,,,,,,,,,PA-11
,,,,,,,,,,,,,,,,,,MI-03
,,,,,,,,,,,,,,,,,,CA-36
,,,,,,,,,,,,,,,,,,CA-02
,,,,,,,,,,,,,,,,,,CA-50
,,,,,,,,,,,,,,,,,,GA-14
,,,,,,,,,,,,,,,,,,CA-01
,,,,,,,,,,,,,,,,,,OH-01
,,,,,,,,,,,,,,,,,,WI-07
,,,,,,,,,,,,,,,,,,AR-03
,,,,,,,,,,,,,,,,,,CA-37
,,,,,,,,,,,,,,,,,,OR-01
,,,,,,,,,,,,,,,,,,CO-06
,,,,,,,,,,,,,,,,,,SC-07
,,,,,,,,,,,,,,,,,,NY-10
,,,,,,,,,,,,,,,,,,MN-04
,,,,,,,,,,,,,,,,,,LA-03
,,,,,,,,,,,,,,,,,,GA-04
,,,,,,,,,,,,,,,,,,NC-11
,,,,,,,,,,,,,,,,,,TX-11
,,,,,,,,,,,,,,,,,,MS-04
,,,,,,,,,,,,,,,,,,PA-04
,,,,,,,,,,,,,,,,,,CO-03
,,,,,,,,,,,,,,,,,,CT-04
,,,,,,,,,,,,,,,,,,OR-05
,,,,,,,,,,,,,,,,,,FL-13
,,,,,,,,,,,,,,,,,,MA-08
,,,,,,,,,,,,,,,,,,TX-24
,,,,,,,,,,,,,,,,,,NJ-07
,,,,,,,,,,,,,,,,,,IA-01
,,,,,,,,,,,,,,,,,,WI-02
,,,,,,,,,,,,,,,,,,CA-12
,,,,,,,,,,,,,,,,,,AL-03
,,,,,,,,,,,,,,,,,,VA-06
,,,,,,,,,,,,,,,,,,NC-04
,,,,,,,,,,,,,,,,,,AL-05
,,,,,,,,,,,,,,,,,,NY-17
,,,,,,,,,,,,,,,,,,CA-40
,,,,,,,,,,,,,,,,,,MO-02
,,,,,,,,,,,,,,,,,,SC-05
,,,,,,,,,,,,,,,,,,PA-09
,,,,,,,,,,,,,,,,,,CA-44
,,,,,,,,,,,,,,,,,,NV-03
,,,,,,,,,,,,,,,,,,CA-45
,,,,,,,,,,,,,,,,,,CA-14
,,,,,,,,,,,,,,,,,,MA-07
,,,,,,,,,,,,,,,,,,TX-34
,,,,,,,,,,,,,,,,,,IA-04
,,,,,,,,,,,,,,,,,,LA-02
,,,,,,,,,,,,,,,,,,FL-15
,,,,,,,,,,,,,,,,,,PA-02
,,,,,,,,,,,,,,,,,,CT-05
,,,,,,,,,,,,,,,,,,MI-11
,,,,,,,,,,,,,,,,,,VT-00
,,,,,,,,,,,,,,,,,,CA-22
,,,,,,,,,,,,,,,,,,NY-06
,,,,,,,,,,,,,,,,,,GA-02
,,,,,,,,,,,,,,,,,,MI-05
,,,,,,,,,,,,,,,,,,AK-00
,,,,,,,,,,,,,,,,,,CA-28
,,,,,,,,,,,,,,,,,,MA-03
,,,,,,,,,,,,,,,,,,DE-00
,,,,,,,,,,,,,,,,,,FL-12
,,,,,,,,,,,,,,,,,,OK-03
,,,,,,,,,,,,,,,,,,KY-01
,,,,,,,,,,,,,,,,,,OH-04
,,,,,,,,,,,,,,,,,,CA-53
,,,,,,,,,,,,,,,,,,OR-02
,,,,,,,,,,,,,,,,,,FL-25
,,,,,,,,,,,,,,,,,,MN-08
,,,,,,,,,,,,,,,,,,AZ-08
,,,,,,,,,,,,,,,,,,FL-06
,,,,,,,,,,,,,,,,,,CT-01
,,,,,,,,,,,,,,,,,,IN-02
,,,,,,,,,,,,,,,,,,MI-06
,,,,,,,,,,,,,,,,,,NC-13
,,,,,,,,,,,,,,,,,,CA-46
,,,,,,,,,,,,,,,,,,WY-00
,,,,,,,,,,,,,,,,,,TX-23
,,,,,,,,,,,,,,,,,,OH-07
,,,,,,,,,,,,,,,,,,CA-09
,,,,,,,,,,,,,,,,,,GA-07
,,,,,,,,,,,,,,,,,,AL-07
,,,,,,,,,,,,,,,,,,TX-05
,,,,,,,,,,,,,,,,,,GA-13
,,,,,,,,,,,,,,,,,,OH-10
,,,,,,,,,,,,,,,,,,MI-02
,,,,,,,,,,,,,,,,,,OR-03
,,,,,,,,,,,,,,,,,,CT-03
,,,,,,,,,,,,,,,,,,FL-19
,,,,,,,,,,,,,,,,,,ND-00
,,,,,,,,,,,,,,,,,,OH-12
,,,,,,,,,,,,,,,,,,NY-16
,,,,,,,,,,,,,,,,,,NV-01
,,,,,,,,,,,,,,,,,,NJ-02
,,,,,,,,,,,,,,,,,,FL-16
,,,,,,,,,,,,,,,,,,IN-03
,,,,,,,,,,,,,,,,,,NJ-05
,,,,,,,,,,,,,,,,,,WI-01
,,,,,,,,,,,,,,,,,,CA-13
,,,,,,,,,,,,,,,,,,VA-04
,,,,,,,,,,,,,,,,,,PA-16
,,,,,,,,,,,,,,,,,,OK-05
,,,,,,,,,,,,,,,,,,CA-25
,,,,,,,,,,,,,,,,,,LA-01
,,,,,,,,,,,,,,,,,,NC-09
,,,,,,,,,,,,,,,,,,IN-01
,,,,,,,,,,,,,,,,,,GA-05
,,,,,,,,,,,,,,,,,,UT-03
,,,,,,,,,,,,,,,,,,TX-17
,,,,,,,,,,,,,,,,,,CA-17
,,,,,,,,,,,,,,,,,,MS-03
,,,,,,,,,,,,,,,,,,AL-06
,,,,,,,,,,,,,,,,,,PA-17
,,,,,,,,,,,,,,,,,,FL-17
,,,,,,,,,,,,,,,,,,PA-05
,,,,,,,,,,,,,,,,,,TN-02
,,,,,,,,,,,,,,,,,,CA-10
,,,,,,,,,,,,,,,,,,NY-22
,,,,,,,,,,,,,,,,,,FL-10
,,,,,,,,,,,,,,,,,,MI-14
,,,,,,,,,,,,,,,,,,OK-04
,,,,,,,,,,,,,,,,,,MO-04
,,,,,,,,,,,,,,,,,,MI-01
,,,,,,,,,,,,,,,,,,OH-06
,,,,,,,,,,,,,,,,,,TX-29
,,,,,,,,,,,,,,,,,,NJ-04
,,,,,,,,,,,,,,,,,,VA-11
,,,,,,,,,,,,,,,,,,WA-02
,,,,,,,,,,,,,,,,,,IL-10
,,,,,,,,,,,,,,,,,,PA-14
,,,,,,,,,,,,,,,,,,TX-15
,,,,,,,,,,,,,,,,,,TX-12
,,,,,,,,,,,,,,,,,,PA-08
,,,,,,,,,,,,,,,,,,NJ-09
,,,,,,,,,,,,,,,,,,NY-01
,,,,,,,,,,,,,,,,,,MD-02
,,,,,,,,,,,,,,,,,,MO-05
,,,,,,,,,,,,,,,,,,TX-13
,,,,,,,,,,,,,,,,,,CO-02
,,,,,,,,,,,,,,,,,,CA-52
,,,,,,,,,,,,,,,,,,NY-11
,,,,,,,,,,,,,,,,,,KS-03
,,,,,,,,,,,,,,,,,,FL-09
,,,,,,,,,,,,,,,,,,GA-01
,,,,,,,,,,,,,,,,,,IN-05
,,,,,,,,,,,,,,,,,,CA-41
,,,,,,,,,,,,,,,,,,IL-13
,,,,,,,,,,,,,,,,,,OH-05
,,,,,,,,,,,,,,,,,,TX-36
,,,,,,,,,,,,,,,,,,PA-07
,,,,,,,,,,,,,,,,,,CA-11
,,,,,,,,,,,,,,,,,,CA-20
,,,,,,,,,,,,,,,,,,TX-27
,,,,,,,,,,,,,,,,,,TX-19
,,,,,,,,,,,,,,,,,,SC-04
,,,,,,,,,,,,,,,,,,UT-04
,,,,,,,,,,,,,,,,,,WA-04
,,,,,,,,,,,,,,,,,,PA-01
,,,,,,,,,,,,,,,,,,MO-07
,,,,,,,,,,,,,,,,,,IA-02
,,,,,,,,,,,,,,,,,,CA-49
,,,,,,,,,,,,,,,,,,TN-06
,,,,,,,,,,,,,,,,,,RI-02
,,,,,,,,,,,,,,,,,,NY-05
,,,,,,,,,,,,,,,,,,FL-24
,,,,,,,,,,,,,,,,,,MA-05
,,,,,,,,,,,,,,,,,,TX-14
,,,,,,,,,,,,,,,,,,MO-03
,,,,,,,,,,,,,,,,,,IL-06
,,,,,,,,,,,,,,,,,,MN-01
,,,,,,,,,,,,,,,,,,IN-06
,,,,,,,,,,,,,,,,,,RI-01
,,,,,,,,,,,,,,,,,,CA-23
,,,,,,,,,,,,,,,,,,FL-26
,,,,,,,,,,,,,,,,,,OH-03
,,,,,,,,,,,,,,,,,,CA-05
,,,,,,,,,,,,,,,,,,CA-27
,,,,,,,,,,,,,,,,,,MI-09
,,,,,,,,,,,,,,,,,,NY-19
,,,,,,,,,,,,,,,,,,WA-07
,,,,,,,,,,,,,,,,,,NJ-06
,,,,,,,,,,,,,,,,,,NY-07
,,,,,,,,,,,,,,,,,,CA-39
,,,,,,,,,,,,,,,,,,CA-51
,,,,,,,,,,,,,,,,,,AZ-01
,,,,,,,,,,,,,,,,,,WA-01
,,,,,,,,,,,,,,,,,,IL-03
,,,,,,,,,,,,,,,,,,AZ-03
,,,,,,,,,,,,,,,,,,NY-14
,,,,,,,,,,,,,,,,,,TX-21
,,,,,,,,,,,,,,,,,,NY-27
,,,,,,,,,,,,,,,,,,NY-24
,,,,,,,,,,,,,,,,,,CA-32
,,,,,,,,,,,,,,,,,,IN-07
,,,,,,,,,,,,,,,,,,MN-03
,,,,,,,,,,,,,,,,,,TX-22
,,,,,,,,,,,,,,,,,,VA-02
,,,,,,,,,,,,,,,,,,KY-03
,,,,,,,,,,,,,,,,,,CT-02
,,,,,,,,,,,,,,,,,,CA-15
,,,,,,,,,,,,,,,,,,TX-33
,,,,,,,,,,,,,,,,,,LA-05
,,,,,,,,,,,,,,,,,,NC-12
,,,,,,,,,,,,,,,,,,CA-03
,,,,,,,,,,,,,,,,,,TX-06
,,,,,,,,,,,,,,,,,,FL-18
,,,,,,,,,,,,,,,,,,KS-02
,,,,,,,,,,,,,,,,,,KY-05
,,,,,,,,,,,,,,,,,,NC-07
,,,,,,,,,,,,,,,,,,NC-03
,,,,,,,,,,,,,,,,,,TX-07
,,,,,,,,,,,,,,,,,,NC-08
,,,,,,,,,,,,,,,,,,FL-27
,,,,,,,,,,,,,,,,,,VA-05
,,,,,,,,,,,,,,,,,,NM-02
,,,,,,,,,,,,,,,,,,OK-02
,,,,,,,,,,,,,,,,,,VA-07
,,,,,,,,,,,,,,,,,,PR-98
,,,,,,,,,,,,,,,,,,FL-23
,,,,,,,,,,,,,,,,,,CA-04
,,,,,,,,,,,,,,,,,,TX-18
,,,,,,,,,,,,,,,,,,TN-08
,,,,,,,,,,,,,,,,,,FL-02
,,,,,,,,,,,,,,,,,,IN-04
,,,,,,,,,,,,,,,,,,NJ-01
,,,,,,,,,,,,,,,,,,NY-04
,,,,,,,,,,,,,,,,,,MA-06
,,,,,,,,,,,,,,,,,,WV-02
,,,,,,,,,,,,,,,,,,WI-06
,,,,,,,,,,,,,,,,,,MD-01
,,,,,,,,,,,,,,,,,,AR-02
,,,,,,,,,,,,,,,,,,IA-03
,,,,,,,,,,,,,,,,,,KY-04
,,,,,,,,,,,,,,,,,,TX-20
,,,,,,,,,,,,,,,,,,NY-12
,,,,,,,,,,,,,,,,,,OH-13
,,,,,,,,,,,,,,,,,,OH-15
,,,,,,,,,,,,,,,,,,GA-06
,,,,,,,,,,,,,,,,,,IL-02
,,,,,,,,,,,,,,,,,,TX-35
,,,,,,,,,,,,,,,,,,TX-16
,,,,,,,,,,,,,,,,,,TX-30
,,,,,,,,,,,,,,,,,,PA-03
,,,,,,,,,,,,,,,,,,CA-43
,,,,,,,,,,,,,,,,,,CA-29
,,,,,,,,,,,,,,,,,,TX-32
,,,,,,,,,,,,,,,,,,IL-12
,,,,,,,,,,,,,,,,,,KS-01
,,,,,,,,,,,,,,,,,,GA-10
,,,,,,,,,,,,,,,,,,AL-01
,,,,,,,,,,,,,,,,,,MI-04
,,,,,,,,,,,,,,,,,,WA-05
,,,,,,,,,,,,,,,,,,FL-11
,,,,,,,,,,,,,,,,,,CA-08
,,,,,,,,,,,,,,,,,,AR-04
,,,,,,,,,,,,,,,,,,FL-20
,,,,,,,,,,,,,,,,,,PA-15
,,,,,,,,,,,,,,,,,,NY-02
,,,,,,,,,,,,,,,,,,MN-06
,,,,,,,,,,,,,,,,,,MN-05
,,,,,,,,,,,,,,,,,,MD-08
,,,,,,,,,,,,,,,,,,FL-08
,,,,,,,,,,,,,,,,,,CA-47
,,,,,,,,,,,,,,,,,,NJ-11
,,,,,,,,,,,,,,,,,,NJ-10
,,,,,,,,,,,,,,,,,,MA-09
,,,,,,,,,,,,,,,,,,OH-08
,,,,,,,,,,,,,,,,,,CO-04
,,,,,,,,,,,,,,,,,,OR-04
,,,,,,,,,,,,,,,,,,NY-20
,,,,,,,,,,,,,,,,,,IL-16
,,,,,,,,,,,,,,,,,,ID-02
,,,,,,,,,,,,,,,,,,UT-02
,,,,,,,,,,,,,,,,,,IL-11
,,,,,,,,,,,,,,,,,,CA-31
,,,,,,,,,,,,,,,,,,TN-07
,,,,,,,,,,,,,,,,,,IL-17
,,,,,,,,,,,,,,,,,,CA-21
,,,,,,,,,,,,,,,,,,SC-03
,,,,,,,,,,,,,,,,,,NC-06
,,,,,,,,,,,,,,,,,,TX-01
,,,,,,,,,,,,,,,,,,TX-09
,,,,,,,,,,,,,,,,,,WI-04
